i,1,衣依扆銥伊咿吚蛜医𣘦嫛繄醫翳鷖猗欹漪椅禕郼噫黟她
i,2,台怡眙貽詒飴枱鈶夷洟姨咦侇桋峓痍胰眱羠跠栘扅袲移迻簃謻誃㐌杝柂迆迤貤䝯匜訑酏椸蛇佗宦頤颐彝𢑱遺儀异圯沶羨懿宜[(異讀)]沂[(異讀)]疑[(異讀)]嶷[(異讀)]誼[(異讀)]
i,3,以㠯苡倚椅猗旖掎踦綺绮輢錡齮已偯矣扆迆酏匜蟻[(異讀)]艤[(異讀)]顗[(異讀)]尾[(異讀)]
i,5,意億憶臆檍澺薏繶醷鐿鷾異异廙冀兾驥翌羿翊翼翳瞖蠮曀殪饐豷懿㦤衣裔曳洩泄枻袣詍勩施貤袘詒貽食猗瘞縊易肄遺㳿乂[(異讀)]刈[(異讀)]義[(異讀)]詣[(異讀)]毅[(異讀)]藝[(異讀)]
i,7,一弌壹噎饐豷弋㚤杙黓亦帟奕弈易埸蜴邑唈悒挹裛浥益溢嗌膉縊艗鷁謚鎰齸睪懌嶧斁圛譯繹驛襗醳佚劮妷泆軼逸佾抑揖射洫億憶臆肊檍繶醷翌翊熠翼液腋掖鳦乙[(異讀)]屹[(異讀)]仡[(異讀)]役[(異讀)]疫[(異讀)]鷊[(異讀)]
pi,1,屄卑[(或音)]碑[(或音)]杯[(或音)]
pi,2,皮疲陂鈹啤埤陴郫脾禆裨猈椑鞞鼙箄比枇琶紕蚍毗毘鈚魮肶㮰膍貔鎞羆罷䥯培[(或音)]賠[(或音)]裴[(或音)]
pi,3,比彼俾婢埤庳睥鞞髀裨匕[(或音)]妣[(或音)]鄙[(或音)]
pi,5,貝[(或音)]倍[(或音)]輩[(或音)]泌[(或音)]秘[(或音)]閟[(或音)]邲[(或音)]毖[(或音)]比[(或音)]庇[(或音)]篦[(或音)]陛[(或音)]狴[(或音)]庳[(或音)]萆[(或音)]畀[(或音)]痹[(或音)]敝[(或音)]蔽[(或音)]幣[(或音)]𡚁[(或音)]斃[(或音)]獘[(或音)]避[(或音)]臂[(或音)]嬖[(或音)]薜[(或音)]費[(或音)]詖[(或音)]骳[(或音)]髲[(或音)]閉[(或音)]賁[(或音)]贔[(或音)]
pi,7,必佖怭邲苾珌鉍飶馝駜畢嗶㓖滭彃篳蓽熚鞸韠縪饆蹕辟壁璧襞躃躄鸊偪幅愊湢楅腷逼疈鼻筆潷皕弼愎碧觱佛癟𤻋覓[(俗音)]謐[(俗音)]祕[(俗音)]甓[(俗音)]荸[(異讀)]
pʰi,1,批砒紕𦱔披被帔狓㓟鈹銔𬭃坏[(或音)]狉[(或音)]丕[(或音)]
pʰi,2,皮[(俗音)]脾[(俗音)]枇[(俗音)]
pʰi,3,否痞嚭苤秠仳庀匕朼牝妣秕粃啚鄙𤹦圮[(異讀)]
pʰi,5,庀媲嫓濞譬帔[(又音)]
pʰi,7,匹疋辟僻澼擗癖擘闢劈甓薜霹鐴椑副弼[(俗音)]愎[(俗音)]鼻[(俗音)]
mi,1,咪瞇
mi,2,玫[(或音)]枚[(或音)]眉[(或音)]煤[(或音)]迷[(或音)]謎[(或音)]糜[(或音)]縻[(或音)]彌[(或音)]瀰[(或音)]
mi,3,米咪敉侎眯洣瞇銤弭靡芈沔[(又音)]美[(又音)]每[(又音)]
mi,5,睸妹[(或音)]謎[(或音)]媚[(或音)]
mi,7,宓虙泌密蔤蜜謐祕糸汨日覓塓幎冪幎幂□鼏幦幭簚
fi,1,飛[(叶音)]
fi,2,肥[(叶音)]
fi,3,匪[(叶音)]
fi,5,費[(叶音)]
ti,1,氐低羝胝袛磾
ti,2,提隄堤題禔緹醍媞睼騠踶鞮鍉褆緹稊䬾鵜啼嗁蹄蹏鍗荑
ti,3,抵底坻邸牴觝柢砥詆弤氐泜底軧的
ti,5,弟悌第娣睇地杕軑釱逮棣帝蒂揥禘碲締諦螮蔕慸遰墆踶題鯷𥳠坻疐嚏蝃隸[(俗音)]粒[(俗音)]遞[(異讀)]
ti,7,啇滴嫡敵蹢鏑甋適摘的菂玓靮翟籊糴籴趯鸐狄荻逖逷弔鍉笛迪[(異讀)]覿[(異讀)]滌[(異讀)]
tʰi,1,梯銻綈鷉提[(俗音)]啼[(俗音)]綈[(俗音)]
tʰi,3,體体醍
tʰi,5,剃涕悌弟鬀銻啻鬄裼薙髢替嚏屉屜揥棣殢遞隸隷
tʰi,7,剔惕惖踢倜俶迪覿滌踧蜴逖[(或音)]逷[(或音)]趯[(或音)]
li,2,漓樆璃縭褵離蘺籬灕䍦䙰醨罹梨棃犁黎藜蔾黧瓈蜊厘釐剺嫠漦犛氂麗酈鸝驪鱺纚欐孋蠡劙梩貍狸驢
li,3,李里理俚娌鯉鋰悝浬哩裏裡澧禮礼□醴離蠡旅膂𭄸履
li,5,利俐莉痢蜊猁鬁例栵㾐迾戾唳捩淚厲癘勵礪糲蠣禲麗儷邐欐鱺攦丽迣吏詈荔沴盭涖莅蒞離劙隸[(或音)]
li,7,力叻立粒笠苙鷑栗慄凓溧瑮篥迾秝曆厤歷𠪱瀝藶嚦䍥癧靂櫪轣櫟礫躒轢皪擽鬲𩱇鎘酈聿律嵂葎茟濾壘率膟矞燏繘遹驈鷸霱鴥
tɕi,1,基朞期稘箕萁其肌飢幾嘰機磯禨譏畿饑𩚮魕鐖鞿璣奇剞敧畸觭踦乩姬雞鷄居丌筓枅㚻嵇稽羈覊羇覉刉躋[(俗音)]苴[(俗音)]賫[(俗音)]
tɕi,2,其淇琪祺棋棊碁旗期蜞騏麒綦萁娸璂𤪌奇崎琦埼錡騎攲碕觭踦伎岐歧蚑跂祈圻旂頎蘄芪祇示疧疷軝耆鳍䰇俟
tɕi,3,几机麂己紀杞幾蟣庋掎剞踦擠[(俗音)]濟[(俗音)]
tɕi,5,季悸痵鯚伎技妓芰忮屐記紀忌跽邔計寄徛騎既塈暨蔇穊繼檵其惎洎瘈覬薊繫結𦇧罽禨企[(俗音)]跂[(俗音)]錡[(俗音)]冀[(或音)]驥[(或音)]祭[(俗音)]濟[(俗音)]
tɕi,7,及汲伋岌芨級笈扱极圾鈒吸吉咭姞蛣佶鮚髻亟極殛急給戟撠棘襋劇革擊毄墼轚激檄迹[(俗音)]積[(俗音)]脊[(俗音)]葺[(俗音)]
tsi,1,躋隮劑齎齏𧆌賫賷且沮狙苴罝疽砠趄菹葅睢蛆齟
tsi,2,齊臍蠐懠艩薺
tsi,3,擠濟鱭鮆癠泲沮咀鉏齟
tsi,5,祭際漈穄傺齊劑穧濟嚌薺懠霽粢檇眥沮怚聚
tsi,7,迹跡蹟勣幘磧積績脊瘠蹐鶺塉疾嫉蒺槉集即蝍唧堲鯽耤籍藉踖葺戢楫檝蕺緝輯揖濈𥊬䐕𧤏寂稷孶䜉聻
tɕʰi,1,欺倛諆僛欹踦觭溪谿榿期[(異讀)]𤄬[(異讀)]妻[(俗音)]沏[(俗音)]
tɕʰi,2,齊[(異讀)]臍[(異讀)]幾[(異讀)]畦[(異讀)]其[(俗音)]奇[(俗音)]祁[(俗音)]
tɕʰi,3,起杞屺芑圮豈啟綮棨启稽掎綺[(異讀)]
tɕʰi,5,氣气汽餼霼炁契禊瘈鍥栔㓶企跂棄器噐憩憇亟愒偈揭甈蟿欬楔[(又音)]妻[(又音)]砌[(又音)]
